title,artist,genre,released_year,song_key,bpm,camelot,Instrumental_type,ranked
Anything Could Happen,Ellie Goulding,Dance Pop,2012,C Major,103,8B,No
Miss You More,Katy Perry,Pop,2017,D Major,124,10B,No
Just The Way You Are,Bruno Mars,Hip Hop/Pop,2010,F Major,109,7B,No
Audio,Sia,Edm/Pop,2018,E-Flat Minor,90,2A,No
Johnny Run Away,Tones And I,Pop,2019,D Major,92,10B,No
Closer,The Chainsmokers,Dance Pop,2016,A-Flat Major,95,4B,No
Tough Love <Tiesto Remix>,Avicii,Edm/Pop,2019,A-Flat Major,127,4B,No
One Kiss <Oliver Heldens Remix>,Calvin Harris,Dance Pop,2018,C Major,124,8B,No
We'Ll Be Coming Back,Calvin Harris,Edm/Pop,2012,G Major,128,9B,No
The Mack,Nevada,Tropical,2016,C Major,106,8B,No
Late Night Feelings,Mark Ronson,Dance Pop,2019,E Minor,110,9A,No
Happy Now <R3Hab Remix>,Kygo,Edm,2019,A Major,123,11B,No
Real Life <Ossian Remix>,Mako,Pop,2017,F Major,100,7B,No
Hot Girl Bummer,Blackbear,Pop,2019,F-Sharp Minor,130,11A,No
Torn <Kream Remix>,Ava Max,Dance Pop,2019,C Major,125,8B,No
We Are Young,Fun,Pop,2012,B-Flat Major,184,6B,No
Blue,Tiesto,Dance Pop,2019,B Major,118,1B,No
No Diggity,Campsite Dream,Dance Pop,2016,G Minor,105,6A,No
Lost In Japan,Shawn Mendes,Hip Hop/Pop,2018,B-Flat Major,105,6B,No
Dusk Till Dawn <Brooks Remix>,Zayn,Edm/Pop,2017,B Minor,126,10A,No
You Owe Me <Subfer Remix>,The Chainsmokers,Edm/Pop,2018,F-Sharp Minor,180,11A,No
Lucky,Chelsea Cutler,Pop,2019,D Major,92,10B,No
Drip Too Hard,Lil Baby & Gunna,Pop,2018,D-Flat Minor,113,12A,No
Oceans Away <Sam Feldt Remix>,Arizona,Tropical,2017,D-Flat Major,115,3B,No
So Good,Dove Cameron,Pop,2019,D Minor,95,7A,No
We Like To Party <Six Flags>,Vengaboys,Dance Pop,1998,A-Flat Major,136,4B,No
Suave,Nayer,Pop,2011,B-Flat Minor,128,3A,No
Still A Survivor,Akon,Pop,2013,A Major,73,11B,No
Call You Home <Faul & Wad Ad Remix>,Kelvin Jones,Edm/Pop,2015,D-Flat Minor,103,12A,No
Cake By The Ocean,Dnce,Pop,2016,E Minor,119,9A,No
Idgaf,Dua Lipa,Pop,2017,G Major,97,9B,No
The Kids Are Coming,Tones And I,Pop,2019,A Minor,135,8A,No
2U,David Guetta,Dance Pop,2017,A-Flat Minor,145,1A,No
Problems,Arizona,Pop,2019,D Major,98,10B,No
Lonely Together,Avicii,Dance/Edm,2017,F Major,103,7B,No
The Scientist,Coldplay,Edm/Pop,2002,F Major,146,7B,No
Call You Mine <Keanu Silva Remix>,The Chainsmokers,Dance Pop,2019,G Major,122,9B,No
Dammit,Blink 182,Pop,1997,C Major,109,8B,No
Faded <Odesza Remix>,Zhu,Pop,2014,C Major,125,8B,No
Light,San Holo,Edm/Pop,2016,D-Flat Major,150,3B,No
On Our Own,Showtek,Edm,2017,A Minor,184,8A,No
I Need Your Love <Nicky Romero Remix>,Calvin Harris,Edm,2013,C Minor,125,5A,No
Keep It Undercover,Zendaya,Pop,2015,C Major,110,8B,No
Gold Skies <Tiesto Remix>,Sander Van Doorn,Dance/Edm,2014,D Major,128,10B,No
Poison,Rita Ora,Pop,2015,B-Flat Major,124,6B,No
Titanium <Alesso Remix>,David Guetta,Edm/Pop,2011,C Minor,126,5A,No
Say Ok,Vanessa Hudgens,Pop,2006,A Minor,127,8A,No
Like I Love You <Keanu Silva Remix>,Lost Frequencies,Edm,2018,D-Flat Major,126,3B,No
Up All Night,Blink 183,Pop,2011,A Major,156,11B,No
Too Good At Goodbyes <Galantis Remix>,Sam Smith,Edm/Pop,2017,F Major,96,7B,No
Somebody,Internet Money,Hip Hop,2019,F-Sharp Minor,90,11A,No
Save As Draft,Katy Perry,Pop,2017,A Major,132,11B,No
Work,Rihanna,Edm/Pop,2016,B Major,92,1B,No
Symphony,Clean Bandit,Dance Pop,2018,C Minor,123,5A,No
They Don'T Know About Us,One Direction,Pop,2012,C Major,148,8B,No
Do It Again,Pia Mia,Pop,2015,A-Flat Major,96,4B,No
Tired <Lemarroy Remix>,Alan Walker,Edm/Pop,2017,D Major,138,10B,No
Say You Won'T Let Go <Luca Schreiner Remix>,James Arthur,Edm/Pop,2016,B-Flat Major,105,6B,No
Black Widow,Iggy Azalea,Pop,2014,B Major,164,1B,No
Tear Me Down,Davai,Dance Pop,2019,B Major,100,1B,No
Any Way You Want It,Journey,Classic Rock,1980,G Major,138,9B,No
In Your Arms,Illenium,Dance Pop,2019,D Major,148,10B,No
Sexy And I Know It,Lmfao,Edm/Pop,2011,G Major,130,9B,No
Save Tonight,Sam Feldt,Tropical,2017,D-Flat Major,115,3B,No
Superlove <Avicii & Lenny Kravitz Remix>,Avicii,Edm,2015,A Minor,128,8A,No
Beautiful People,Ed Sheeran,Pop,2019,F Minor,93,4A,No
Ex'S & Oh'S,Elle King,Pop,2015,G Major,140,9B,No
I Gotta Feeling,The Black Eyed Peas,Edm/Pop,2009,C Major,128,8B,No
This Groove,Oliver Heldens,Edm,2019,D-Flat Major,124,3B,No
Honey I'M Good,Andy Grammer,Pop,2015,A Major,122,11B,No
Waiting For Love <Carnage & Headhunterz Remix>,Avicii,Dance/Edm,2015,F-Sharp Minor,128,11A,No
Somebody,Escape With Romeo,Edm/Pop,1989,G Major,118,9B,No
Better,Khalid,Edm/Pop,2018,C Minor,98,5A,No
Are You With Me,Lost Frequencies,Edm/Pop,2016,F Minor,121,4A,No
Mamma Mia,Tokyo Tav,Dance Pop,2019,A Minor,125,8A,No
Beast,Tungevaag,Pop,2016,B Major,160,1B,No
Same Old Love,Selena Gomez,Pop,2015,B Minor,98,10A,No
Safe And Sound,Capital Cities,Pop,2013,C Major,118,8B,No
Will I Ever,Alice Dj,Dance Pop,2000,D Major,137,10B,No
Can I Have This Dance,High School Musical Cast,Pop,2008,C Major,136,8B,No
Five More Hours,Deorro & Chris Brown,Edm/Pop,2015,F Minor,128,4A,No
Summer,Calvin Harris,Edm/Pop,2014,E Minor,128,9A,No
Keep Up,Felix Cartal,Edm/Pop,2016,E Minor,118,9A,No
The Boys Are Back,High School Musical Cast,Pop,2008,D-Flat Major,115,3B,No
